date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:23	30297/30297	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Mar%202024%2011:12:47%20GMT	https://htmldemo.net/pustok/pustok/image/products/product-11.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/products/product-11.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:23	36223/36223	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Apr%202024%2010:57:23%20GMT	https://htmldemo.net/pustok/pustok/image/products/product-12.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/products/product-12.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:24	14709/14709	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Apr%202024%2010:57:23%20GMT	https://htmldemo.net/pustok/pustok/image/products/product-13.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/products/product-13.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:24	12153/12153	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Apr%202024%2010:57:23%20GMT	https://htmldemo.net/pustok/pustok/image/bg-images/promo-banner-small-with-text.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/bg-images/promo-banner-small-with-text.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:25	9788/9788	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Apr%202024%2010:57:24%20GMT	https://htmldemo.net/pustok/pustok/image/bg-images/promo-banner-contained.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/bg-images/promo-banner-contained.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:25	11640/11640	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Mar%202024%2011:12:49%20GMT	https://htmldemo.net/pustok/pustok/image/others/blog-grid-1.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/others/blog-grid-1.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:25	12120/12120	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Apr%202024%2010:57:24%20GMT	https://htmldemo.net/pustok/pustok/image/others/blog-grid-2.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/others/blog-grid-2.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:25	31590/31590	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Mar%202024%2011:12:50%20GMT	https://htmldemo.net/pustok/pustok/image/others/blog-grid-3.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/others/blog-grid-3.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:26	37582/37582	---M--	200	added ('OK')	image/jpeg	date:Sun,%2007%20Apr%202024%2010:57:25%20GMT	https://htmldemo.net/pustok/pustok/image/products/product-details-1.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/products/product-details-1.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:26	52220/52220	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Mar%202024%2011:12:51%20GMT	https://htmldemo.net/pustok/pustok/image/products/product-details-2.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/products/product-details-2.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:26	25369/25369	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Mar%202024%2011:12:51%20GMT	https://htmldemo.net/pustok/pustok/image/products/product-details-3.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/products/product-details-3.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:26	34639/34639	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Mar%202024%2011:12:51%20GMT	https://htmldemo.net/pustok/pustok/image/products/product-details-4.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/products/product-details-4.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:27	1325/1325	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202024%2007:07:27%20GMT	https://htmldemo.net/pustok/pustok/image/others/brand-1.jpg	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/image/others/brand-1.jpg	(from https://htmldemo.net/pustok/pustok/index-2.html)
